aaiershibingbian,阿埃二氏病变
danchunxingtaixuan,单纯性苔癣
danchunxingwaiyinqiechushu,单纯性外阴切除术
danchunxingxiguanjietuowei,单纯性膝关节脱位
danchunxingxianxingchunyan,单纯型腺性唇炎
danchunxingyazhouyan,单纯性牙周炎
danchunxingyangzhen,单纯性痒疹
danchunxingyichuanxingzidian,单纯性遗传性紫癜
danchunxingyouhuafa,单纯形优化法
danchunxingyulinbing,单纯性鱼鳞病
danchunxingzhinangliu,单纯性脂囊瘤
danchunxingzidian,单纯性紫癜
danchunyuanshisanguang,单纯远视散光
danchunyundongxingqiangxizonghezheng,单纯运动性腔隙综合症
danchunzazhong,单纯杂种
danchunzhizhi,单纯脂质
dancifuyong,单次服用
dandaizhuangxianjiechongfu,单带状衔接重复
dandaobisuo,胆道闭锁
dandaoceya,胆道测压
dandaochuxie,胆道出血
dandaoexingzhongliu,胆道恶性肿瘤
dandaoganran,胆道感染
dandaogengzu,胆道梗阻
dandaohuazhigaoxichongbing,胆道华支睾吸虫病
dandaohuichong,胆道蛔虫
dandaohuichongbing,胆道蛔虫病
dandaojiatizhuangzhiquchu,胆道假体装置去除
dandaojianyashu,胆道减压术
dandaojiangpianchongbing,胆道姜片虫病
dandaojingjiancha,胆道镜检查
dandaojingjianchashu,胆道镜检查术
dandaojingqushishu,胆道镜取石术
dandaojingxiaqushishujingpi,胆道镜下取石术经皮
dandaopaishitang,胆道排石汤
dandaopuyi,单道谱仪
dandaoqinangkuozhangdaoguan,胆道气囊扩张导管
dandaoqiunangkuozhangshu,胆道球囊扩张术
dandaoquhuitang,胆道驱蛔汤
dandaoshanshuoxianxiang,胆道闪烁显像
dandaoshoushu,胆道手术
dandaoshuhoucanliujieshi,胆道术后残留结石
dandaoshuhoudandaoganran,胆道术后胆道感染
dandaoshuhoudanlou,胆道术后胆瘘
dandaoshuhoujingshenzhangai,胆道术后精神障碍
dandaoshuhoushenshuaihuowuniao,胆道术后肾衰或无尿
dandaoshuhouzhuangtai,胆道术后状态
dandaoxichongbing,胆道吸虫病
dandaoyuanweiai,胆道原位癌
dandaozhijia,胆道支架
dandaozhijianietaihejinzhijia,胆道支架镍钛合金支架
dandaozhijiazhirushu,胆道支架置入术
dandengtongnao,丹灯通脑
dandengtongnaojiaonang,丹灯通脑胶囊
dandengtongnaoruanjiaonang,丹灯通脑软胶囊
dandiwoershizonghezheng,丹迪沃二氏综合症
dandiwokeerershizonghezheng,丹迪沃科尔二氏综合症
dandiwokeershizonghezheng,丹迪沃克二氏综合症
dandiwokenangzhong,丹迪沃克囊肿
dandiwokeshizonghezheng,丹迪沃克氏综合症
dandiwokezonghezheng,丹迪沃克综合症
dandianlaoansuan,单碘酪氨酸
dandiaozuoye,单调作业
dandongguanjie,单动关节
dandouchi,淡豆豉
dandougu,淡豆鼓
dandudongwu,单独动物
dandujunsibaixuebing,丹毒菌丝败血病
danduangudingqiao,单端固定桥
danefukang,丹莪妇康
danefukangjiangao,丹莪妇康煎膏
danerbeitixingjueding,单二倍体性决定
danertingjue,单耳听觉
danfacankuiqilianyouxuzhiyi,但发惭愧凄怜忧恤之意
danfaxingwaimaogenqiaoliu,单发性外毛根鞘瘤
danfaxingxianweimaonangliu,单发性纤维毛囊瘤
danfangxinggunangzhong,单房性骨囊肿
danfangzhiji,单方制剂
danfeiyizhi,单肺移植
danfenzijiguangliaofa,氮分子激光疗法
danfotizhi,丹佛体制
danfoweierkang,丹佛胃尔康
danfoweierkangkeli,丹佛胃尔康颗粒
danfujiajizuan,单氟甲基组胺
danfuyurezheng,胆腑郁热证
dangejingshu,丹葛颈舒
dangejingshujiaonang,丹葛颈舒胶囊
dangeshouzhiliduan,单个手指离断
danguchun,胆固醇
danguchundanjiayangmei,胆固醇单加氧酶
danguchunfeiyan,胆固醇肺炎
danguchunjiejingshuanzi,胆固醇结晶栓子
danguchunjieshi,胆固醇结石
danguchunqianghuachun,胆固醇羟化醇
danguchunxingdannangyan,胆固醇性胆囊炎
danguchunxingxinbaoyan,胆固醇性心包炎
danguchunzhidanbailei,胆固醇脂蛋白类
danguchunzhujibing,胆固醇贮积病
danguhuachundanzaichun,胆骨化醇胆甾醇
dangulijiegou,单谷粒结构
dangushengfading,丹骨生发酊
danguwansanchundanjiayangmei,胆固烷三醇单加氧酶
danguxitonghuanyuanmei,胆固烯酮还原酶
danguxingjiangxibaoxinggusuiliu,单骨性浆细胞性骨髓瘤
danguanai,胆管癌
danguanaigenzhishu,胆管癌根治术
danguanaiqiechushu,胆管癌切除术
danguanbingsunqiechushu,胆管病损切除术
danguanbufenqiechushu,胆管部分切除术
danguanceyazaoying,胆管测压造影
danguanchuxie,胆管出血
danguanchuankong,胆管穿孔
danguanexingzhongliu,胆管恶性肿瘤
danguanganguankongchangwenheshu,胆管肝管空肠吻合术
danguanganxibaoai,胆管肝细胞癌
danguanjifaxingexingzhongliu,胆管继发性恶性肿瘤
danguanjieshi,胆管结石
danguanjieshibangengzu,胆管结石伴梗阻
danguanjieshibanjixingdannangyan,胆管结石伴急性胆囊炎
danguanjieshibanmanxingdannangyan,胆管结石伴慢性胆囊炎
danguanjieshibanyoudanguanyan,胆管结石伴有胆管炎
danguanjieyan,单关节炎
danguankongchangwenheshu,胆管空肠吻合术
danguankuiyang,胆管溃疡
danguankuozhang,胆管扩张
danguanliangxingzhongliu,胆管良性肿瘤
danguannangxianai,胆管囊腺癌
danguannangxianliu,胆管囊腺瘤
danguannangzhong,胆管囊肿
danguannangzhongqiechushu,胆管囊肿切除术
danguanqiekai,胆管切开
danguanrengongkaikoubiheshu,胆管人工开口闭合术
danguanshierzhichangwenheshu,胆管十二指肠吻合术
danguantanchashu,胆管探查术
danguanweikongchangwenheshu,胆管胃空肠吻合术
danguanxiazhai,胆管狭窄
danguanxianliu,胆管腺瘤
danguanxiubuchengxingshu,胆管修补成形术
danguanxiubushu,胆管修补术
danguanyizhishu,胆管移植术
danguanyinliushu,胆管引流术
danguanzaoying,胆管造影
danguanzhijiaquchu,胆管支架去除
danguanzhongliuqiechushu,胆管肿瘤切除术
danguanzhouweiyan,胆管周围炎
danguanzuse,胆管阻塞
danguangzifasheticengxianxiang,单光子发射体层显像
danguixiangjiaonang,丹桂香胶囊
danguixiangkeli,丹桂香颗粒
danhejushixibaoxitong,单核巨噬细胞系统
danhequankouyichi,单颌全口义齿
danhetunshixibao,单核吞噬细胞
danhetunshixibaoxitong,单核吞噬细胞系统
danhexibao,单核细胞
danhexibaobaixuebing,单核细胞白血病
danhexibaojianshao,单核细胞减少
danhexibaolixibao,单核细胞粒细胞
danhexibaolinbaxibaobilv,单核细胞淋巴细胞比率
danhexibaoquhuadanbai,单核细胞趋化蛋白
danhexibaotiaojianpeiyangye,单核细胞条件培养液
danhexibaoxingbaixuebing,单核细胞性白血病
danhexibaoxingyanxiayan,单核细胞性咽峡炎
danhexibaoyangxibaolinbaliu,单核细胞样细胞淋巴瘤
danhexibaozengduo,单核细胞增多
danhexibaozengduozheng,单核细胞增多症
danheyagongjiabanchaichushu,单颌牙弓夹板拆除术
danheyinzi,单核因子
danhongdizhuye,丹红滴注液
danhonghuayu,丹红化瘀
danhonghuayukoufuye,丹红化瘀口服液
danhongsu,胆红素
danhongsubaidanbai,胆红素白蛋白
danhongsubiaozhunpin,胆红素标准品
danhongsudaixiewenluan,胆红素代谢紊乱
danhongsudanguchunbaohezhishu,胆红素胆固醇饱和指数
danhongsugaijieshi,胆红素钙结石
danhongsuniao,胆红素尿
danhongsuxuezheng,胆红素血症
danhongsuxuezhengjiazhong,胆红素血症加重
danhongzhibaidanbai,胆红质白蛋白
danhongzhusheye,丹红注射液
danhuakoufuye,丹花口服液
danhuanneixianan,单环内酰胺
danhuanneixiananlei,单环内酰胺类
danhuanneixiananleikangshengsu,单环内酰胺类抗生素
danhuangkeli,丹黄颗粒
danhuangpianbomoyi,胆黄片薄膜衣
danhuangqutanjiaonang,丹黄祛痰胶囊
danhuangquyu,丹黄祛瘀
danhuangquyujiaonang,丹黄祛瘀胶囊
danhuoshangnizheng,胆火上逆证
danhuoxingransetiyuanze,单活性染色体原则
danjibankuan,单极半髋
danjibankuandanjigugutou,单极半髋单极股骨头
danjidanbashashang,单击单靶杀伤
danjidianning,单极电凝
danjidianzhuoshu,单极电灼术
danjierbing,丹吉尔病
danjifenlie,单极分裂
danjigugutou,单极股骨头
danjijingpixiachuchandianji,单极经皮下除颤电极
danjiliangbaozhuang,单剂量包装
danjiqiutou,单极球头
danjitangshenjingxianan,单己糖神经酰胺
danjixinfangdaoxian,单极心房导线
danjixinfangdianji,单极心房电极
danjixinshidaoxian,单极心室导线
danjixinshidianji,单极心室电极
danjixinshixidianji,单极心室细电极
danjiyinbing,单基因病
danjiyinzazhong,单基因杂种
danjizuoshidianji,单极左室电极
danjiajijingansuan,单甲基精氨酸
danjiajijiutuiche,担架急救推车
danjiajiuhucheyong,担架救护车用
danjiakangti,单价抗体
danjiateyixingkangxueqing,单价特异性抗血清
danjiayimiao,单价疫苗
danjianbaoganjiaolinsuanna,胆碱胞苷焦磷酸钠
danjianlinzhi,胆碱磷酯
danjiannengshenjing,胆碱能神经
danjiannengyaozhongdu,胆碱能药中毒
danjiannengzonghezheng,胆碱能综合征
danjianshouti,胆碱受体
danjianshoutijidongji,胆碱受体激动剂
danjianshoutizuduanyao,胆碱受体阻断药
danjianyixianzhuanyimei,胆碱乙酰转移酶
danjianzhimei,胆碱酯酶
danjianzhimeifuhuoyao,胆碱酯酶复活药
danjianzhimeijianshao,胆碱酯酶减少
danjianzhimeishijihe,胆碱脂酶试剂盒
danjianzhimeishizhi,胆碱酯酶试纸
danjianzhimeizengjia,胆碱酯酶增加
danjianzhuanlinmei,胆碱转磷酶
danjiaozigong,单角子宫
danjiechaji,氮芥搽剂
danjieyanghuawu,氮芥氧化物
danjiezhusheye,氮芥注射液
danjingdanshishu,胆镜胆石术
danjingtinengpuji,单晶体能谱计
danjingyurezheng,胆经郁热证
danjingzhurongshi,但竞逐荣势
danjingzhushezhen,单精注射针
danjingziluanpaozhushe,单精子卵泡注射
danjunshifangshiyan,单菌释放实验
dankangjiaonang,胆康胶囊
dankangpianbomoyi,胆康片薄膜衣
dankelongbing,单克隆病
dankelongbingqiudanbaibing,单克隆丙球蛋白病
dankelongbingzhongqiudanbaibing,单克隆丙种球蛋白病
dankelongkangti,单克隆抗体
dankelongkangtimianyixianxiang,单克隆抗体免疫显像
dankelongqiudanbaibing,单克隆球蛋白病
dankexiguanjiexitong,单颗膝关节系统
dankexingxiguanjiezhihuanxitong,单髁型膝关节置换系统
dankezhihuanxing,单髁置换型
danlantongluo,丹蓝通络
danlantongluokoufuye,丹蓝通络口服液
danlanyiqiyangyinkoufuye,丹蓝益气养阴口服液
danlejiaonang,胆乐胶囊
danleiershixianxiang,丹累二氏现象
danliershifa,丹李二氏法
danlishujiaonang,胆利舒胶囊
danliweilong,淡力维隆
danliangouxingduotaixing,单链构型多态性
danlianjiehedanbaizhilei,单链结合蛋白质类
danlianshijunti,单链噬菌体
danlinsuanatangxiangan,单磷酸阿糖腺苷
danlinsuandanniaogan,单磷酸氮尿苷
danlinsuanfudaiquyangniaohegan,单磷酸氟代去氧脲核苷
danlinsuanhegan,单磷酸核苷
danlinsuanjitang,单磷酸己糖
danlinsuanjiajijigan,单磷酸甲基肌苷
danlinsuanniaogan,单磷酸鸟苷
danlinting,氮磷汀
danlingbugu,丹苓补骨
danlingbugujiaonang,丹苓补骨胶囊
danlingweitong,单铃胃痛
danlingxinshu,丹羚心舒
danlingxinshujiaonang,丹羚心舒胶囊
danliusuankanameisu,单硫酸卡那霉素
danliusuankanameisujiaonang,单硫酸卡那霉素胶囊
danliusuankanameisukeli,单硫酸卡那霉素颗粒
danlongzhichuan,胆龙止喘
danlongzhichuanpian,胆龙止喘片
danloupianbomoyi,丹蒌片薄膜衣
danlouqiechushu,胆瘘切除术
danlutongdu,丹鹿通督
danlutongdupian,丹鹿通督片
danlutongdupianbomoyi,丹鹿通督片薄膜衣
danluanshuangsheng,单卵双生
danluanshuangtaihuoying,单卵双胎活婴
danluanshuangtaihuoyingchushengdidian,单卵双胎活婴出生地点
danlunyousheng,担轮幼生
danlunzhusheye,丹仑注射液
danlvbushen,丹绿补肾
danlvbushenjiaonang,丹绿补肾胶囊
danlvfennasuan,单氯芬那酸
danlvfennasuanpian,单氯芬那酸片
danlvfennasuanpian,单氯芬钠酸片
danmaershizonghezheng,丹马二氏综合症
danmanerbutong,但满而不痛
danmoershizhoubi,丹摩二氏皱襞
danmogenershizhoubi,丹摩根二氏皱襞
danmujingao,胆木浸膏
danmujingaojiaonang,胆木浸膏胶囊
danmujingaopian,胆木浸膏片
danmujingaopianbomoyi,胆木浸膏片薄膜衣
danmujingaotangjiang,胆木浸膏糖浆
danmuzhusheye,胆木注射液
dannaerbin,单那尔滨
dannanxing,胆南星
dannangaiqiechugerenshi,胆囊癌切除个人史
dannangbingbian,胆囊病变
dannangbufenqiechushu,胆囊部分切除术
dannangbuxianying,胆囊不显影
dannangchanglou,胆囊肠瘘
dannangchangwenheshu,胆囊肠吻合术
dannangchaoshengxianxiang,胆囊超声显像
dannangchenjiwu,胆囊沉积物
dannangchuankong,胆囊穿孔
dannangdanguchunchenzhuozheng,胆囊胆固醇沉着症
dannangdanguanwenheshu,胆囊胆管吻合术
dannangdi,胆囊底
dannangdongmai,胆囊动脉
dannangdongmaijiezashu,胆囊动脉结扎术
dannangexingzhongliu,胆囊恶性肿瘤
dannangfeida,胆囊肥大
dannanggaihua,胆囊钙化
dannangganguanwenheshu,胆囊肝管吻合术
dannangganzongguanlou,胆囊肝总管瘘
dannangguancanduanqiechushu,胆囊管残端切除术
dannangguanexingzhongliu,胆囊管恶性肿瘤
dannangguangengzu,胆囊管梗阻
dannangguanjieshi,胆囊管结石
dannangguankuozhang,胆囊管扩张
dannanghuaiju,胆囊坏疽
dannangjifaexingzhongliu,胆囊继发恶性肿瘤
dannangjinong,胆囊积脓
dannangjishui,胆囊积水
dannangjixianzheng,胆囊肌腺症
dannangjixing,胆囊畸形
dannangjixue,胆囊积血
dannangjiye,胆囊积液
dannangjiaojieexingzhongliu,胆囊交界恶性肿瘤
dannangjiaotongfufaxing,胆囊绞痛复发性
dannangjiechanglou,胆囊结肠瘘
dannangjiehe,胆囊结核
dannangjieshi,胆囊结石
dannangjieshibandannangyan,胆囊结石伴胆囊炎
dannangjieshibanmanxingdannangyan,胆囊结石伴慢性胆囊炎
dannangjieshiqiandun,胆囊结石嵌顿
dannangjing,胆囊颈
dannangjingmai,胆囊静脉
dannangjingpihuojianshu,胆囊经皮活检术
dannangkongchanglouqiechushu,胆囊空肠瘘切除术
dannangkongchangwenhekouxiazhai,胆囊空肠吻合口狭窄
dannangkongchangwenheshu,胆囊空肠吻合术
dannangkuiyang,胆囊溃疡
dannangliangxingzhongliu,胆囊良性肿瘤
dannanglouxiubushu,胆囊瘘修补术
dannangnangzhong,胆囊囊肿
dannangnianyenangzhong,胆囊粘液囊肿
dannangniuzhuan,胆囊扭转
dannangnongzhong,胆囊脓肿
dannangpoliexiubushu,胆囊破裂修补术
dannangqiechushu,胆囊切除术
dannangqiechushuhou,胆囊切除术后
dannangqiechushuhouzhanlian,胆囊切除术后粘连
dannangqiechushuhouzonghezheng,胆囊切除术后综合症
dannangqieji,胆囊切迹
dannangqiekaiqushishu,胆囊切开取石术
dannangqiekaiquyiwushu,胆囊切开取异物术
dannangqiekaiyinliushu,胆囊切开引流术
dannangqueru,胆囊缺如
dannangsanjiao,胆囊三角
dannangshierzhichanglou,胆囊十二指肠瘘
dannangshierzhichangwenheshu,胆囊十二指肠吻合术
dannangshousuosu,胆囊收缩素
dannangshousuosuceding,胆囊收缩素测定
dannangshousuosucuyimeisu,胆囊收缩素促胰酶素
dannangshousuosutai,胆囊收缩素肽
dannangshousuosuxianan,胆囊收缩素酰胺
dannangsunshang,胆囊损伤
dannangti,胆囊体
dannangweilou,胆囊胃瘘
dannangweisuo,胆囊萎缩
dannangweiwenheshu,胆囊胃吻合术
dannangxirou,胆囊息肉
dannangxirouzhaichushu,胆囊息肉摘除术
dannangxianliuyangxirou,胆囊腺瘤样息肉
dannangxiubushu,胆囊修补术
dannangxueguanzaoying,胆囊血管造影
dannangxueguanzaoyingshu,胆囊血管造影术
dannangyan,胆囊炎
dannangyiwenheshu,胆囊胰吻合术
dannangyuchangwenheshu,胆囊与肠吻合术
dannangyudanguanwenheshu,胆囊与胆管吻合术
dannangyuweiwenheshu,胆囊与胃吻合术
dannangyuyiwenheshu,胆囊与胰吻合术
dannangyuanweiai,胆囊原位癌
dannangyundongzhangai,胆囊运动障碍
dannangzaokoubiheshu,胆囊造口闭合术
dannangzaokoushu,胆囊造口术
dannangzaolouguan,胆囊造瘘管
dannangzaoloushu,胆囊造瘘术
dannangzaoying,胆囊造影
dannangzaoyingshu,胆囊造影术
dannangzhanweixingbingbian,胆囊占位性病变
dannangzhongwu,胆囊肿物
dannangzhouweinongzhong,胆囊周围脓肿
dannangzhouyan,胆囊周炎
danneidanguanwaiyinliushu,胆内胆管外引流术
dannibuershishenjingbing,丹尼布二氏神经病
dannibulangershishenjingbing,丹尼布朗二氏神经病
dannilaike,丹尼莱克
dannimoershizhoubi,丹尼摩二氏皱襞
dannimogen,旦尼莫根
dannimogenershizhoubi,丹尼摩根二氏皱襞
danniaomiding,氮尿嘧啶
danniaomidinghegan,氮尿嘧啶核苷
danniaopiaoling,氮鸟嘌呤
danniaopiaolingjiahuangsuanna,氮鸟嘌呤甲磺酸钠
danniaopiaolingjiahuangsuanna,氮鸟嘌岭甲磺酸钠
danniesideheilanxuehongdanbai,丹涅斯德黑兰血红蛋白
danningfenjiemei,单宁分解酶
danninggujiaoyuanjizhi,单宁骨胶原基质
danningjufa,单凝聚法
danningxibao,丹宁细胞
danningyebao,丹宁液胞
danpifen,丹皮酚
danpifenhuangsuanna,丹皮酚磺酸钠
danpifenhuangsuannazhusheye,丹皮酚磺酸钠注射液
danpifenpian,丹皮酚片
danpifenruangao,丹皮酚软膏
danpifentiegao,丹皮酚贴膏
danpifenzhusheye,丹皮酚注射液
danpilingzejiaguifu,丹皮苓泽加桂附
danpusaidunzhusheye,氮普噻吨注射液
danqidongmai,单脐动脉
danqihexuepian,丹芪和血片
danqijiaonang,丹七胶囊
danqijiaonang,丹芪胶囊
danqikeli,丹杞颗粒
danqipian,丹七片
danqipianbomoyi,丹七片薄膜衣
danqipiantan,丹芪偏瘫
danqipiantanjiaonang,丹芪偏瘫胶囊
danqipiantangyi,丹七片糖衣
danqiruanjiaonang,丹七软胶囊
danqishuxin,丹芪舒心
danqishuxinjiaonang,丹芪舒心胶囊
danqixuzhengdanrepihan,胆气虚证胆热脾寒
danqiyangxuekeli,丹芪养血颗粒
danqiyiwaizhongdu,氮气意外中毒
danqiangquluanzhen,单腔取卵针
danqinerti,单亲二体
danqinshengzhi,单亲生殖
danqingjiaonang,胆清胶囊
danqulinna,丹曲林钠
danqulinnajiaonang,丹曲林钠胶囊
danquanxie,淡全蝎
danrencangzhiliao,单人舱治疗
danrenjianchuangweifei,单人间床位费
danrixi,丹日希
danrixing,丹日星
danrutangmeiquefazheng,单乳糖酶缺乏症
danrutoushen,单乳头肾
dansanji,单散剂
dansekuwen,淡色库蚊
danseshijue,单色视觉
danshenchuanxiongqin,丹参川芎嗪
danshenchuanxiongqinzhusheye,丹参川芎嗪注射液
danshendizhuye,丹参滴注液
danshenduofensuanyan,丹参多酚酸盐
danshenjiaonang,丹参胶囊
danshenjingyan,单神经炎
danshenkeliwutangxing,丹参颗粒无糖型
danshenkoufuye,丹参口服液
danshenpian,丹参片
danshenpianbomoyi,丹参片薄膜衣
danshenshuxin,丹参舒心
danshenshuxinjiaonang,丹参舒心胶囊
danshensuna,丹参素钠
danshentonghuangsuanna,丹参酮磺酸钠
danshentonghuangsuannazhusheye,丹参酮磺酸钠注射液
danshentongjiaonang,丹参酮胶囊
danshentongzhusheye,丹参酮注射液
danshenyixin,丹参益心
danshenyixinjiaonang,丹参益心胶囊
danshenzhusheye,丹参注射液
danshidan,淡石丹
danshijiaotong,胆石绞痛
danshilitong,胆石利通
danshilitongpian,胆石利通片
danshilitongpiantangyi,胆石利通片糖衣
danshipian,胆石片
danshiqingpian,胆石清片
danshisuan,胆石酸
danshitongjiaonang,胆石通胶囊
danshitongli,胆石通利
danshitonglijiaonang,胆石通利胶囊
danshixingchanggengzu,胆石性肠梗阻
danshixingyixianyan,胆石性胰腺炎
danshizhiganzhuyexun,丹石栀甘竹叶寻
danshizonghezheng,胆石综合征
danshujiaonang,胆舒胶囊
danshuluanguanjiezashu,单输卵管结扎术
danshuruanjiaonang,胆舒软胶囊
dansuxierchuntuoqingmei,胆素烯二醇脱氢酶
dansuanceding,胆酸测定
dansuanlianjiemei,胆酸连接酶
dansuannapian,胆酸钠片
dansuannapiantangyi,胆酸钠片糖衣
dansuanxishoubuliangzonghezhengxing,胆酸吸收不良综合症型
dansuanzhike,胆酸止咳
dansuanzhikepian,胆酸止咳片
dantaihuochan,单胎活产
dantaihuoyingchushengdidian,单胎活婴出生地点
dantaishunchanjiesheng,单胎顺产接生
dantaisichan,单胎死产
dantangjihuanhujing,单糖基环糊精
dantangjianglongyanshier,单糖浆龙岩市二
dantaoheji,丹桃合剂
dantaokoufuye,丹桃口服液
dantidanbaizhilei,单体蛋白质类
dantijiehedanbaizhilei,单体结合蛋白质类
dantiwaixiukebosuishishu,胆体外休克波碎石术
dantianjiangzhi,丹田降脂
dantianjiangzhiwan,丹田降脂丸
dantiexichunputangjizhuanyimei,单萜烯醇葡糖基转移酶
dantingfeixin,丹葶肺心
dantingfeixinkeli,丹葶肺心颗粒
dantongkangzuodierye,氮酮康唑滴耳液
dantougonghejinchongtianqi,单头汞合金充填器
dantuotingshuangyibingbian,单脱烃双异丙吡胺
dantuoyesuansijitang,单唾液酸四己糖
danwangkeli,丹王颗粒
danweidingkoufuruye,胆维丁口服乳液
danweidingpian,胆维丁片
danweidingru,胆维丁乳
danweijianyan,单尾检验
danweikangjiaonang,胆胃康胶囊
danweiningjiaonang,胆胃宁胶囊
danweipinghuaji,单位平滑肌
danweitapian,胆维他片
danweixingzhuang,单位性状
danwoershijixing,丹沃二氏畸形
danwoershizonghezheng,丹沃二氏综合症
danwokeerershizonghezheng,丹沃科尔二氏综合症
danwokeershizonghezheng,丹沃克二氏综合症
danxibaobianyiti,单细胞变异体
danxibaopeiyang,单细胞培养
danxiershishiyan,丹西二氏试验
danximian,氮烯咪胺
danxixinfa,丹溪心法
danxiyupingfengkeli,丹溪玉屏风颗粒
danxianbingdu,诞腺病毒
danxianganyou,单酰甘油
danxianhechengmei,胆酰合成酶
danxianjiaonangrenmin,胆仙胶囊人民
danxianweijidiantu,单纤维肌电图
danxianyichuan,单线遗传
danxiangbiyan,胆香鼻炎
danxiangbiyanpian,胆香鼻炎片
danxiangbiyanpiantangyi,胆香鼻炎片糖衣
danxiangbuticeding,单项补体测定
danxiangfensanxitong,单相分散系统
danxiangfushekuosanshiyan,单向辐射扩散试验
danxiangguanxin,丹香冠心
danxiangguanxinzhusheye,丹香冠心注射液
danxiangkuosanshiyan,单向扩散试验
danxiangputaotangdizhuye,丹香葡萄糖滴注液
danxiangputaotangzhusheye,丹香葡萄糖注射液
danxiangqingzhi,丹香清脂
danxiangqingzhikeli,丹香清脂颗粒
danxiangxingkouyantongqiguan,单向型口咽通气管
danxiangyiyu,单相抑郁
danxiaoguanai,胆小管癌
danxiaoguanxiazhai,胆小管狭窄
danxiaoguanyanxingganyan,胆小管炎性肝炎
danxiaosuanshanlizhipian,单硝酸山梨酯片
danxiaosuanyishanlichun,单硝酸异山梨醇
danxiaosuanyishanlichunzhi,单硝酸异山梨醇酯
danxiaosuanyishanlisuan,单硝酸异山梨酸
danxiaosuanyishanlizhi,单硝酸异山梨酯
danxiaosuanyishanlizhichangxiaopian,单硝酸异山梨酯长效片
danxiaosuanyishanlizhifensanpian,单硝酸异山梨酯分散片
danxiaosuanyishanlizhihuanshipian,单硝酸异山梨酯缓释片
danxiaosuanyishanlizhijiaonang,单硝酸异山梨酯胶囊
danxiaosuanyishanlizhijiaowan,单硝酸异山梨酯胶丸
danxiaosuanyishanlizhilvhuana,单硝酸异山梨酯氯化钠
danxiaosuanyishanlizhipenwuji,单硝酸异山梨酯喷雾剂
danxiaosuanyishanlizhipian,单硝酸异山梨酯片
danxiaosuanyishanlizhiputaotang,单硝酸异山梨酯葡萄糖
danxiaosuanyishanlizhizhusheye,单硝酸异山梨酯注射液
danxiaozhiyishanlizhijiaonang,单硝酯异山梨酯胶囊
danxinfangxinneixiufushu,单心房心内修复术
danxinnitaihejinchaodaoxianquan,单芯铌钛合金超导线圈
danxinshifengeshu,单心室分隔术
danxinshixingfangshilianjie,单心室性房室连接
danxinzonghezheng,胆心综合征
danxingdannanxing,胆星胆南星
danxingpeiyang,单型培养
danxingxingxianliu,单形性腺瘤
danxiongbanhen,丹芎瘢痕
danxiongbanhentumo,丹芎瘢痕涂膜
danxiongdieda,丹芎跌打
danxiongdiedagao,丹芎跌打膏
danxiongtongmai,丹芎通脉
danxiongtongmaikeli,丹芎通脉颗粒
danxuezhengxingguyingyangbuliang,氮血症性骨营养不良
danyangudingzonghezheng,单眼固定综合症
danyankangjiaonang,胆炎康胶囊
danyanshenduxiansuo,单眼深度线索
danyanshilixiajiang,单眼视力下降
danyansuanfuxipan,单盐酸氟西泮
danyansuanfuxipanjiaonang,单盐酸氟西泮胶囊
danyanxingxieshi,单眼性斜视
danyanyundongshicha,单眼运动视差
danyanzhegaifa,单眼遮盖法
danyanghuahewuzhongdu,氮氧化合物中毒
danyangliuhuan,氮氧六环
danyicijifa,单一刺激法
danyiguanhuiheyichang,胆胰管汇合异常
danyiningpian,胆益宁片
danyinongzuodanyijingying,单一农作单一经营
danyipinzhongzaipei,单一品种栽培
danyixianlaiansuan,氮乙酰赖氨酸
danyixianmafeiyansuanyan,单乙酰吗啡盐酸盐
danyixinggunangzhong,单一性骨囊肿
danyixulie,单一序列
danyinciji,单音刺激
danyinfazhongzhiji,单引发终止剂
danyinsufangchafenxi,单因素方差分析
danyingpuan,胆影葡胺
danyingpuanzhusheye,胆影葡胺注射液
danyingsuanna,胆影酸钠
danyingzhisuanganyouzhi,单硬脂酸甘油酯
danyugukang,丹郁骨康
danyugukangwan,丹郁骨康丸
danyugukangwannongsuowan,丹郁骨康丸浓缩丸
danyukeli,丹萸颗粒
danyutanraozheng,胆郁痰扰证
danyuzhuangji,单羽状肌
danyuanxingyixianyan,胆源性胰腺炎
danzabaogan,氮杂胞苷
danzabaomidinghegan,氮杂胞嘧啶核苷
danzabaomidingtuoyanghegan,氮杂胞嘧啶脱氧核苷
danzahuanbingwan,氮杂环丙烷
danzaniaopiaoling,氮杂鸟嘌呤
danzatuoyangxiangan,氮杂脱氧腺苷
danzayibingqin,氮杂异丙嗪
danzaiwanchun,胆甾烷醇
danzaiwansichunqianghuamei,胆甾烷四醇羟化酶
danzaiwansichuntuoqingmei,胆甾烷四醇脱氢酶
danzaixichun,胆甾烯醇
danzaixichunyigoumei,胆甾烯醇异构酶
danzangqichaojiancha,单脏器超检查
danzhenkeli,丹贞颗粒
danzhentoutong,丹珍头痛
danzhentoutongjiaonang,丹珍头痛胶囊
danzhibinglangwei,胆汁槟榔维
danzhifanliuxingweiyan,胆汁反流性胃炎
danzhiganning,胆汁肝宁
danzhigumoyan,单肢骨膜炎
danzhikoufuye,丹栀口服液
danzhiliuqiechushu,胆脂瘤切除术
danzhinongsuozonghezheng,胆汁浓缩综合症
danzhixiaoyao,丹栀逍遥
danzhixiaoyaojiaonang,丹栀逍遥胶囊
